orden,parte,descripcion,und_prg,t_est,destino,modulo,operario,ruta,f_inicio,h_inicio,f_fin,h_fin,t_total,u_primera,u_segunda,comentario,rendimiento
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,452,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,414,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,700,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,712,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,387,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,681,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,563,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,526,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
OTO2064340422,RTO-05AV3-34455,CONFE PLUMON+FUNDON MICRO UNIC EXTRA DOBLE ROSA PALIDO,34,31.59,"54,PRIORIDAD 1 MAYO 2° SE",4,112,B002-Confeccion,2022/05/17,06:16,2022/05/17,09:14,178,34,,,75.4
