AVG(rendimiento),AVG(u_primera),AVG(u_segunda),COUNT(operario),f_inicio,f_fin,orden,u_primera,u_segunda,rendimiento
125.29999999999998,12,0,9,2022/05/10,2022/05/10,OTO2062930422,12,,125.3
30.300000000000008,12,0,11,2022/05/10,2022/05/10,OTO2063890422,12,,30.3
49.89999999999999,16,0,9,2022/05/10,2022/05/10,OTO2062890422,16,,49.9
120.60000000000001,20,0,7,2022/05/11,2022/05/11,OTO2071460522,20,,120.6
66.8,6,0,1,2022/05/11,2022/05/11,OTO2071700522,6,,66.8
50.10000000000001,105,0,7,2022/05/11,2022/05/11,OTO2033670322,105,,50.1
111.8,3,0,1,2022/05/11,2022/05/11,OTO2047740422,3,,111.8
72.3,2,0,1,2022/05/11,2022/05/11,OTO2071610522,2,,72.3
85.1,45,0,3,2022/05/11,2022/05/11,OTO2064550422,45,,85.1
42.300000000000004,32,0,10,2022/05/11,2022/05/12,OTO2050900422,32,,42.3
75.2,13,0,8,2022/05/11,2022/05/11,OTO2033610322,13,,75.2
41.8,28,0,2,2022/05/11,2022/05/11,OTO2006190222E2,28,,41.8
121.5,116,0,6,2022/05/11,2022/05/11,OTO2043590422E1,116,,121.5
23.800000000000004,56,0,8,2022/05/11,2022/05/11,OTO2071770522,56,,23.8
84.5,359,0,6,2022/05/11,2022/05/12,OTO2064400422,359,,84.5
54.39999999999999,25,0,10,2022/05/11,2022/05/11,OTO2050930422,25,,54.4
140.70000000000002,9,0,9,2022/05/11,2022/05/11,OTO2072600522,9,,140.7
59.5,89,0,10,2022/05/11,2022/05/11,OTO2071560522,89,,59.5
153,2,0,1,2022/05/11,2022/05/11,OTO2071740522,2,,153.0
32.199999999999996,27,0,10,2022/05/11,2022/05/11,OTO2050890422,27,,32.2
165.5,2,0,1,2022/05/11,2022/05/11,OTO2071680522,2,,165.5
46.5,32,0,4,2022/05/11,2022/05/11,OTO2071570522,32,,46.5
48.800000000000004,70,0,6,2022/05/11,2022/05/11,OTO2006370222,70,,48.8
149,2,0,1,2022/05/11,2022/05/11,OTO2071650522,2,,149.0
20.599999999999998,33,0,7,2022/05/11,2022/05/11,OTO2033660322,33,,20.6
185,18,0,1,2022/05/11,2022/05/11,OTO2071660522,18,,185.0
122.8,4,0,1,2022/05/11,2022/05/11,OTO2071640522,4,,122.8
163,2,0,1,2022/05/11,2022/05/11,OTO2071620522,2,,163.0
36.4,1327,0,7,2022/05/11,2022/05/11,OTO2053850522,1327,,36.4
48.4,106,0,2,2022/05/11,2022/05/11,OTO2065250422,106,,48.4
83.5,64,0,8,2022/05/11,2022/05/11,OTO2033580322,64,,83.5
53.3,10,0,4,2022/05/11,2022/05/11,OTO2064550422,10,,53.3
56.300000000000004,24,0,9,2022/05/11,2022/05/12,OTO2071820522,24,,56.3
192,4,0,2,2022/05/11,2022/05/11,OTO2072000522,4,,192.0
44.699999999999996,10,0,9,2022/05/11,2022/05/11,OTO2072130522,10,,44.7
285.1,39,0,2,2022/05/11,2022/05/11,OTO2064530422,39,,285.1
94.6,2,0,1,2022/05/11,2022/05/11,OTO2071590522,2,,94.6
361.3,40,0,4,2022/05/11,2022/05/11,OTO2064510422,40,,361.3
230,2,0,1,2022/05/11,2022/05/11,OTO2071710522,2,,230.0
9.2,14,0,3,2022/05/11,2022/05/11,OTO2072030522,14,,9.2
230.3,12,0,1,2022/05/11,2022/05/11,OTO2071630522,12,,230.3
66.60000000000001,44,0,7,2022/05/11,2022/05/11,OTO2053750522,44,,66.6
125.7,10,0,1,2022/05/11,2022/05/11,OTO2071720522,10,,125.7
78.10000000000001,7,0,9,2022/05/11,2022/05/11,OTO2072620522,7,,78.1
115,2,0,1,2022/05/11,2022/05/11,OTO2071690522,2,,115.0
38,33,0,4,2022/05/11,2022/05/11,OTO2064390422,33,,38.0
12,15,0,7,2022/05/11,2022/05/11,OTO2056770422,15,,12
135.79999999999998,10,0,6,2022/05/11,2022/05/11,OTO2063720422,10,,135.8
34,140,0,6,2022/05/11,2022/05/11,OTO2006000222,140,,34.0
40,2,0,2,2022/05/11,2022/05/11,OTO2072010522,2,,40.0
102.90000000000002,4,0,3,2022/05/11,2022/05/11,OTO2071750522,4,,102.9
48.5,60,0,8,2022/05/11,2022/05/11,OTO2072020522,60,,48.5
58.699999999999996,10,0,9,2022/05/11,2022/05/11,OTO2050940422,10,,58.7
78.10000000000001,10,0,9,2022/05/11,2022/05/11,OTO2071850522,10,,78.1
217.3,2,0,1,2022/05/11,2022/05/11,OTO2071670522,2,,217.3
84.5,10,0,9,2022/05/11,2022/05/11,OTO2071970522,10,,84.5
64.89999999999999,16,0,9,2022/05/11,2022/05/11,OTO2050950422,16,,64.9
54.39999999999999,5,0,7,2022/05/11,2022/05/11,OTO2033610322,5,,54.4
103.2,10,0,1,2022/05/11,2022/05/11,OTO2071730522,10,,103.2
36.9,35,0,8,2022/05/11,2022/05/11,OTO2033590322,35,,36.9
582.8000000000001,27,0,9,2022/05/11,2022/05/11,OTO2072610522,27,,582.8
0,0,0,8,2022/05/11,2022/05/11,OTO2071450522,,,0.0
100,55,0,8,2022/05/11,2022/05/11,OTO2005820222,55,,100.0
66.39999999999999,49,0,8,2022/05/11,2022/05/11,OTO2033530322,49,,66.4
46.5,6,0,9,2022/05/11,2022/05/11,OTO2071960522,6,,46.5
69.39999999999999,23,0,8,2022/05/11,2022/05/12,OTO2071830522,23,,69.4
83.10000000000001,35,0,9,2022/05/11,2022/05/11,OTO2050780422,35,,83.1
77.39999999999999,4,0,9,2022/05/11,2022/05/12,OTO2071950522,4,,77.4
96.10000000000001,126,0,8,2022/05/11,2022/05/11,OTO2072570522,126,,96.1
0,0,0,3,2022/05/11,2022/05/11,OTO2064510422,0,,0.0
159,33,0,3,2022/05/11,2022/05/11,OTO2065160422,33,,159.0
30.5,48,0,4,2022/05/11,2022/05/11,OTO2071580522,48,,30.5
138,2,0,1,2022/05/11,2022/05/11,OTO2071600522,2,,138.0
84.2,7,0,7,2022/05/12,2022/05/12,OTO2071860522,7,,84.2
116.60000000000001,38,0,8,2022/05/12,2022/05/12,OTO2071840522,38,,116.6
33,3,0,8,2022/05/12,2022/05/12,OTO2033510322,3,,33.0
93.60000000000001,20,0,7,2022/05/12,2022/05/12,OTO2062520422,20,,93.6
74.8,25,0,8,2022/05/12,2022/05/12,OTO2033590322,25,,74.8
0,0,0,9,2022/05/12,2022/05/12,OTO2072150522,,,0.0
96.8,20,0,4,2022/05/12,2022/05/12,OTO2072580522,20,,96.8
22.900000000000002,2,0,9,2022/05/12,2022/05/12,OTO2072200522,2,,22.9
190.8,600,0,5,2022/05/12,2022/05/13,OTO2045410422,600,,190.8
75.6,8,0,4,2022/05/12,2022/05/12,OTO2071870522,8,,75.6
46.5,2,0,9,2022/05/12,2022/05/12,OTO2072210522,2,,46.5
